TXHOME,TXAWAY,TXLOCATION,UCLAHOME,UCLAAWAY,UCLALOCATION
TX,HOUBAP,Austin,UCLA,CSU,Los Angeles
GNZG,TX,Spokane,UCLA,VILL,Los Angeles
TX,NCOL,Austin,UCLA,LBST,Los Angeles
TX,SJST,Austin,UCLA,NFL,Los Angeles
TX,CABAP,Austin,BELLA,UCLA,Las Vegas
TX,SMHO,Austin,UCLA,GNZG,Las Vegas
TX,UTRGV,Austin,UNLV,UCLA,Las Vegas
SETON,TX,Newark,UCLA,COL,Los Angeles
TX,ARPB,Austin,WASH,UCLA,Seattle
STAN,TX,Las Vegas,MARQ,UCLA,Milwaukee
TX,RICE,Austin,UCLA,ALAST,Los Angeles
TX,ALAST,Austin,NCAR,UCLA,Las Vegas
TX,INCAR,Austin,UCLA,CALPOL,Los Angeles
TX,INCAR,Austin,UCLA,ARZ,Los Angeles
TX,WVIR,Austin,UCLA,ARZST,Los Angeles
KANST,TX,Manhattan,UCLA,ARZST,Los Angeles
OKST,TX,Stillwater,UCLA,LBST,Los Angeles
TX,OKL,Austin,STAN,UCLA,Stanford
IOWAST,TX,Ames,CAH,UCLA,Berkeley
TX,KANST,Austin,UCLA,ORE,Los Angeles
TX,OKST,Austin,UCLA,OREGST,Los Angeles
TCU,TX,Fort Worth,UTAH,UCLA,Salt Lake City
TX,TENN,Austin,COL,UCLA,Boulder
TXTECH,TX,Lubbock,UCLA,ARZ,Los Angeles
TX,IOWAST,Austin,UCLA,CAH,Los Angeles
TX,KAN,Austin,UCLA,STAN,Los Angeles
BAYL,TX,Waco,ARZ,UCLA,Tucson
OKL,TX,Norman,ARZST,UCLA,Tempe
TX,TXTECH,Austin,STAN,UCLA,Stanford
TX,TCU,Austin,USC,UCLA,Los Angeles
WVIR,TX,Morgantown,UCLA,WASHST,Los Angeles
TX,BAYL,Austin,UCLA,WASH,Los Angeles
KAN,TX,Lawrence,UCLA,ARZST,Los Angeles
TX,TCU,Kansas City,ORE,UCLA,Eugene
