TXHOME,TXAWAY,UCLAHOME,UCLAAWAY
TX,HOUBAP,UCLA,CSU
GNZG,TX,UCLA,VILL
TX,NCOL,UCLA,LBST
TX,SJST,UCLA,NFL
TX,CABAP,BELLA,UCLA
TX,SMHO,UCLA,GNZG
TX,UTRGV,UNLV,UCLA
SETON,TX,UCLA,COL
TX,ARPB,WASH,UCLA
STAN,TX,MARQ,UCLA
TX,RICE,UCLA,ALAST
TX,ALAST,NCAR,UCLA
TX,INCAR,UCLA,CALPOL
TX,INCAR,UCLA,ARZ
TX,WVIR,UCLA,ARZST
KANST,TX,UCLA,ARZST
OKST,TX,UCLA,LBST
TX,OKL,STAN,UCLA
IOWAST,TX,CAH,UCLA
TX,KANST,UCLA,ORE
TX,OKST,UCLA,OREGST
TCU,TX,UTAH,UCLA
TX,TENN,COL,UCLA
TXTECH,TX,UCLA,ARZ
TX,IOWAST,UCLA,CAH
TX,KAN,UCLA,STAN
BAYL,TX,ARZ,UCLA
OKL,TX,ARZST,UCLA
TX,TXTECH,STAN,UCLA
TX,TCU,USC,UCLA
WVIR,TX,UCLA,WASHST
TX,BAYL,UCLA,WASH
KAN,TX,UCLA,ARZST
TX,TCU,ORE,UCLA
